7(disz)	NU	57
7(disz)	NU		2
7(disz)	NU.TERM	1
7(disz)?	NU		1
7(disz)-kam	NU.GEN.COP-3-SG	10
7(disz)-kam	NU.GEN.COP-3-SG.L1	1
7(disz)-sze3	NU.TERM	1
7(disz)-ta	NU.ABL	1
7(gesz2)	NU	7
8(asz)	NU	11
8(bur3)	N	2
8(disz)	NU	64
8(disz)	NU		2
8(disz)-kam	NU.GEN.COP-3-SG	11
8(disz)-sze3	NU.TERM	1
8(disz@v)	NU	1
8(gesz2)	NU	7
8(gesz2)	NU		1
8(szar2)	NU.ABS	1
9(asz)	NU	7
9(bur3)	N	1
9(disz)	NU	22
9(disz)-kam	NU.GEN.COP-3-SG	1
9(gesz2)	NU	7
a	N	2
a	N.ABS	2
a-<sza3>	N	1
a2	N	38
a2-ag2-ga2	N	1
a2-bi	N.3-SG-NH-POSS	1
a2-bi	N.3-SG-NH-POSS.ABS	31
a2-bi	NU.3-SG-NH-POSS.ABS	1
a2-bi2-la-ti	PN.GEN	2
a2-bil2-la-tum	PN.DAT-H	1
a2-ge6-ba-a	N.L1	5
a2-ki-ti	MN.L1	12
a2-na-mu	PN	1
a2-na-mu	PN.DAT-H	1
a2-NE-ni	PN.DAT-H	1
a2-ni-ta	PN.DAT-H	1
a2-ta	PN	1
a2-zi-da	PN.DAT-H	1
a-ab-ba-mu	PN	1
a-ab-ba-mu	PN.DAT-H	1
a-ab-ba-ni-ta	PN.GEN.ABL	1
a-a-kal-la	PN	13
a-a-kal-la	PN		1
a-a-kal-la	PN.DAT-H	1
a-a-kal-la-ta	PN.GEN.ABL	1
a-al-ni	PN.DAT-H	1
a-a-mu	PN.GEN	1
a-an-na-ti	PN	1
a-at-ti-a	PN	1
ab	N	1
ab2	N	13
ab2	N.ABS	3
ab2	N.ABS		1
ab2-mah2	N	4
a-ba	PN.DAT-H	1
a-ba-{d}en-lil2-gin7-ta	PN.GEN.ABL	3
a-ba-{d}szara2-gin7	PN.ERG	1
a-ba-al-la	FN	1
a-bala	NF.V.PT.GEN	1
ab-ba	N	1
ab-ba-gi-na	PN	4
ab-ba-gi-na	PN.ERG	2
ab-ba-gi-na	PN.GEN	1
ab-ba-gi-na-sze3	PN.GEN.TERM	1
ab-ba-gi-na-ta	PN.GEN.ABL	1
ab-ba-iri	N	1
ab-ba-kal-la	PN.ERG	1
ab-ba-kal-la	PN.GEN.GEN	1
ab-ba-mu	PN.GEN.GEN	1
ab-ba-mu-ta	PN.GEN.ABL	1
ab-ba-sa6-ga	PN.ERG	2
ab-ba-sa6-ga-ta	PN.GEN.ABL	18
ab-ba-saga	PN	1
ab-ba-saga	PN.ERG	1
a-bi2-si2-im-ti	PN.GEN	1
a-bil-{d}suen	PN.DAT-H	1
a-bu3-ka	FN.GEN.TERM	1
a-bu-da	PN.ERG	1
a-bu-ni	PN.GEN	1
a-bu-ni-ta	PN.GEN.ABL	1
a-da-ga	PN	2
a-da-ga	PN.GEN	1
a-da-lal3	PN	1
a-da-lal3	PN.DAT-H	2
a-da-sze-en6-ta	PN.GEN.ABL	1
ad-da	PN	2
ad-da	PN.GEN	1
ad-da-da	PN.GEN	1
ad-da-kal-la	PN.DAT-H	1
ad-da-mu	PN	2
ad-da-mu	PN.GEN	1
ad-da-na-sze3	N.3-SG-H-POSS.GEN.TERM	1
ad-da-ta	PN.GEN.ABL	1
ad-kup4	N.DAT-H	1
ad-kup4	N.GEN	1
ad-kup4-me	N.ABS.COP-3-PL	1
a-du	PN.GEN	1
a-du-du	PN	1
a-du-du	PN.DAT-H	1
a-du-du	PN.ERG	1
a-du-mu	PN.DAT-H	1
a-du-mu	PN.GEN	1
ag2-e-dam	NF.V.F.ABS.COP-3-SG	1
aga3	N	2
aga3	N.ABS	1
aga3-us2	N	3
aga3-us2-gal	N.DAT-H	2
aga3-us2-ta	N.GEN.ABL	1
a-gal-zi	PN	1
a-gi4-um	ON	1
a-gu	PN.GEN	1
a-gu-a	PN.DAT-H	1
a-gu-gu	PN.GEN	1
a-gu-gu	PN.GEN.GEN	1
a-gu-ta	PN.GEN.ABL	4
a-hu-a	PN	1
a-hu-a-ga	PN	1
a-hu-ni	PN.DAT-H	2
a-hu-ni	PN.ERG		1
a-hu-ni-ta	PN.GEN.ABL	1
a-hu-wa-qar	PN	1
a-hu-wa-qar	PN.ERG	1
a-hu-we-er-ta	PN.GEN.ABL	1
ak	NF.V.F.ABS	1
ak	NF.V.PT	8
ak	NF.V.PT.ABS	1
ak	NF.V.PT.GEN	1
a-kal-la	PN	8
a-kal-la	PN.DAT-H	1
a-kal-la	PN.ERG	2
a-kal-la	PN.GEN	3
a-kal-la-ta	PN.GEN.ABL	4
ak-de3	NF.V.F.DAT-NH	1
a-ku-ku-ta	PN.GEN.ABL	1
al	N	2
al	N.ABS	1
al	N.TERM	1
alan	N	1
alan-da	N.COM	1
a-li	PN	1
al-la	PN	1
al-la-ha-ru	N	1
al-la-mu	PN.ERG	1
al-la-palil2	PN	1
al-la-ta	PN.GEN.ABL	1
a-lu5-lu5	PN.DAT-H	1
a-lu5-lu5	PN.GEN	1
a-lu5-lu5-ta	PN.GEN.ABL	4
a-lum	N	24
a-lum	N		1
a-lum	N.ABS	2
a-lum	N.ABS		1
al-zi-ra	NF.V.PT	1
am	N	1
am	N.ABS	1
am3-ma	PN	1
ama-e2-mah-e	PN	1
ama-gan	N	1
ama-gi-na	PN.DAT-H	1
ama-kal-la	PN.DAT-H	1
a-ma-ma-a	PN	1
ama-ni	N.3-SG-H-POSS	1
amar	N	3
amar	N.GEN	2
amar-a-a-si	MN.L1	1
amar-kiszi17	PN.GEN	1
a-ma-ru-kam	N.GEN.ABS.COP-3-SG	1
ama-ur4-sza3-ge	PN	1
ambar{ki}	SN.GEN.L1	1
a-mur-{d}utu	PN	1
a-mur-{d}utu	PN.ERG	1
a-mur-dingir	PN	2
an	DN.DAT-H	1
an-...-ta	PN.GEN.ABL	1
an-da-gu-du-esz3-e-ki-ag2	PN.GEN	1
AN-gu2-gu2-mu	PN.DAT-H	1
a-nigin2-sze3	N.TERM	1
an-na	DN.GEN.GEN.TERM	1
an-na-hi-li-bi-ta	PN.GEN.ABL	1
an-na-sze3	DN.GEN.TERM	1
an-ne2	PN.DAT-H	1
an-ne2-ba-ab-du7	PN.GEN.ABL	1
an-nu-ni-tum	PN.DAT-H	1
an-sza{ki}	GN.ABS	2
an-sza-an{ki}	GN.ABS	12
an-sza-an{ki}-ta	GN.ABL	1
ansze	N	2
an-ub-da	N	16
an-ub-da	N		1
anzu2{muszen}-babbar2	TN.GEN.GEN	1
a-pi4-sal4{ki}	FN.GEN	1
a-pi4-sal4{ki}	FN.L1	1
a-pi4-sal4{ki}-ta	SN.ABL	1
a-pi-dingir	PN	1
apin	N	2
apin-du8-a	MN.ABL	1
apin-la2	N	8
apin-la2	N.GEN	1
a-ra	N	2
a-ra2	N	42
ARAD2	N	4
ARAD2	N.DAT-H	1
ARAD2	PN.ABS	1
ARAD2	PN.ERG	1
ARAD2	PN.ERG		1
ARAD2	PN.GEN	1
ARAD2	PN.GEN.ABS	1
ARAD2-{d}nanna	PN	3
ARAD2-{d}nanna	PN		1
ARAD2-{d}szara2	PN.GEN	1
ARAD2-da	N.COM.GEN.ABS	1
ARAD2-dam	PN.ABS	1
ARAD2-dam	PN.GEN	1
ARAD2-hu-la	PN	1
ARAD2-mu	PN	7
ARAD2-mu	PN		1
ARAD2-mu	PN.GEN.ABS	1
ARAD2-ta	PN.GEN.ABL	3
ARAD2-zu	N.2-SG-POSS.ABS	24
ARAD2-zu	N.2-SG-POSS.ABS		1
ar-ha	N	1
a-ri-a	N	1
ar-ma-tum	N.ABS	1
ar-szi-ah	PN	1
ar-ti-a	PN	1
a-sza3	N	44
a-sza3-da	N.COM	1
a-sza3-ga	N.GEN	5
a-sza3-ge	N.L3-NH	1
aszgab	N	2
aszgab	N.DAT-H	1
aszgab	N.GEN	2
aszgab-gal	N.GEN	1
aszgab-ta	N.GEN.ABL	1
a-szi-an	PN.GEN	2
asz-sze3	NU.TERM	1
ASZ-ur4	N	1
a-ta	N.ABL	2
a-tu	PN	2
a-tu	PN.DAT-H	1
a-tu	PN.GEN	1
a-tu5-a	N	1
